cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2014-01-16-ak-invivo-1,803.26,2.3120229511581782,0.014165489782626235,0.007112977431183025,24.30632120240236,0.0002851096309430286,0.0028600590320415394,0.0011963117586515453,5e-05,0.06057228972437009,1,0,-4.98046875,0
2014-12-11-aa-invivo-1,651.29,110.31713694365598,1.522266574846523,0.02274369798634087,499.44685404447773,0.0010908984221126568,0.04065807318024823,0.0010262164681389477,5e-05,0.8644462875159566,1,0,-50.0,0
2017-07-18-ah-invivo-1,816.18,4.492478880802049,0.030680049206572385,0.0005510176207879538,11.010435284946723,0.0012660814616981633,0.01178076926186549,0.00010480712226888011,5e-05,0.05347128935359713,1,0,1.171875,0
2017-07-18-ai-invivo-1,817.53,4.836173387076376,0.045960408902420334,0.0005713395854796994,19.082872790172893,0.0017648069889998111,0.024310257773158105,0.00037992426067294776,5e-05,0.021943818745769235,1,0,-2.5390625,0
2017-07-18-aj-invivo-1,818.98,62.59548468438461,0.26688797342324944,0.0063976464842525225,344.9549845381489,0.0006269389203256706,0.03293495593748591,0.00048458937953982373,5e-05,0.08847603129712459,1,0,-48.4375,0
2018-05-08-aa-invivo-1,643.65,23.90042739559335,0.1798294135622658,0.0014978457325112936,196.79744698301027,0.008998581511662336,0.1931709060535164,0.0012206757789855745,5e-05,0.08342443880014652,1,0,-38.28125,0
2018-05-08-ab-invivo-1,646.62,21.143340239280292,0.17918314011340677,0.0021110702241677664,74.44012660456099,0.002104111838094462,0.031480734087501225,0.000841793287555979,5e-05,0.1649339650514045,1,0,-3.125,0
2018-05-08-ac-invivo-1,655.16,35.32000871480389,0.3365254255760804,0.006773219307007808,139.23166556708537,0.0004350491142382615,0.028336890851257814,0.0013549977866199972,5e-05,0.1531910034411788,1,0,-12.5,0
2018-05-08-ad-invivo-1,655.66,10.56270995846859,0.04501376693597617,0.0013544139474406026,32.871669695970056,0.001129016694314504,0.01343806066427332,0.0007800007176441471,5e-05,0.08300605346748607,1,0,-0.09765625,0
2018-05-08-ae-invivo-1,649.48,23.236002441272873,0.1649467891961967,0.003929215662714291,139.62843570490134,0.0014895499625897,0.020705895621135995,0.0013078805846238773,5e-05,0.12368546391523849,1,0,-21.09375,0
2018-05-08-af-invivo-1,649.93,50.67440031212505,0.15942545846977396,0.008870877837080987,266.86501353697287,0.0011885343507996296,0.01831310334923414,0.0011045939825865964,5e-05,0.061964902843727104,1,0,-35.15625,0
2018-05-08-ai-invivo-1,653.62,17.97588058957365,0.12223368623652905,0.0022403560787985152,58.600496136896105,0.00113939954736546,0.02035182654993045,0.0014268613608903935,5e-05,0.07235575003635941,1,0,-1.5625,0
2018-06-25-ad-invivo-1,840.79,62.49268603283534,0.23947474463722357,0.001883927876295424,286.0953844311519,0.002389671017958955,0.0698177647604567,0.0010856424997856035,5e-05,0.09634714314913008,1,0,-29.6875,0
